,ObservationDate,Country/Region,Confirmed,Deaths,Recovered,Active_case
0,01/01/2021,Australia,28460,909,22573,4978
1,01/02/2021,Australia,28484,909,22581,4994
2,01/03/2021,Australia,28504,909,22581,5014
3,01/04/2021,Australia,28517,909,22588,5020
4,01/05/2021,Australia,28536,909,22592,5035
5,01/06/2021,Australia,28546,909,22600,5037
6,01/07/2021,Australia,28571,909,22606,5056
7,01/08/2021,Australia,28582,909,22606,5067
8,01/09/2021,Australia,28595,909,22612,5074
9,01/10/2021,Australia,28614,909,22621,5084
10,01/11/2021,Australia,28634,909,22627,5098
11,01/12/2021,Australia,28650,909,22643,5098
12,01/13/2021,Australia,28660,909,22650,5101
13,01/14/2021,Australia,28669,909,22657,5103
14,01/15/2021,Australia,28689,909,22668,5112
15,01/16/2021,Australia,28708,909,22684,5115
16,01/17/2021,Australia,28721,909,22692,5120
17,01/18/2021,Australia,28731,909,22698,5124
18,01/19/2021,Australia,28740,909,22709,5122
19,01/20/2021,Australia,28749,909,22716,5124
20,01/21/2021,Australia,28755,909,22725,5121
21,01/22/2021,Australia,28760,909,22735,5116
22,01/23/2020,Australia,0,0,0,0
23,01/23/2021,Australia,28766,909,22748,5109
24,01/24/2021,Australia,28777,909,22759,5109
25,01/25/2020,Australia,4,0,0,4
26,01/25/2021,Australia,28780,909,22761,5110
27,01/26/2020,Australia,4,0,0,4
28,01/26/2021,Australia,28786,909,22766,5111
29,01/27/2020,Australia,5,0,0,5
30,01/27/2021,Australia,28794,909,22779,5106
31,01/28/2020,Australia,5,0,0,5
32,01/28/2021,Australia,28799,909,22781,5109
33,01/29/2020,Australia,5,0,0,5
34,01/29/2021,Australia,28806,909,22791,5106
35,01/30/2020,Australia,9,0,2,7
36,01/30/2021,Australia,28811,909,22802,5100
37,01/31/2020,Australia,9,0,2,7
38,01/31/2021,Australia,28818,909,22805,5104
39,02/01/2020,Australia,12,0,2,10
40,02/01/2021,Australia,28823,909,22808,5106
41,02/02/2020,Australia,12,0,2,10
42,02/02/2021,Australia,28829,909,22814,5106
43,02/03/2020,Australia,12,0,2,10
44,02/03/2021,Australia,28838,909,22822,5107
45,02/04/2020,Australia,13,0,2,11
46,02/04/2021,Australia,28842,909,22822,5111
47,02/05/2020,Australia,13,0,2,11
48,02/05/2021,Australia,28848,909,22825,5114
49,02/06/2020,Australia,14,0,2,12
50,02/06/2021,Australia,28851,909,22827,5115
51,02/07/2020,Australia,15,0,2,13
52,02/07/2021,Australia,28857,909,22830,5118
53,02/08/2020,Australia,15,0,2,13
54,02/08/2021,Australia,28860,909,22837,5114
55,02/09/2020,Australia,15,0,2,13
56,02/09/2021,Australia,28871,909,22844,5118
57,02/10/2020,Australia,15,0,2,13
58,02/10/2021,Australia,28879,909,22846,5124
59,02/11/2020,Australia,15,0,2,13
60,02/11/2021,Australia,28887,909,22850,5128
61,02/12/2020,Australia,15,0,2,13
62,02/12/2021,Australia,28892,909,22854,5129
63,02/13/2020,Australia,15,0,8,7
64,02/13/2021,Australia,28898,909,22858,5131
65,02/14/2020,Australia,15,0,8,7
66,02/14/2021,Australia,28900,909,22864,5127
67,02/15/2020,Australia,15,0,8,7
68,02/15/2021,Australia,28905,909,22866,5130
69,02/16/2020,Australia,15,0,8,7
70,02/16/2021,Australia,28911,909,22870,5132
71,02/17/2020,Australia,15,0,10,5
72,02/17/2021,Australia,28912,909,22871,5132
73,02/18/2020,Australia,15,0,10,5
74,02/18/2021,Australia,28918,909,22874,5135
75,02/19/2020,Australia,15,0,10,5
76,02/19/2021,Australia,28920,909,22879,5132
77,02/20/2020,Australia,15,0,10,5
78,02/20/2021,Australia,28926,909,22881,5136
79,02/21/2020,Australia,19,0,11,8
80,02/21/2021,Australia,28930,909,22882,5139
81,02/22/2020,Australia,22,0,11,11
82,02/22/2021,Australia,28937,909,22885,5143
83,02/23/2020,Australia,22,0,11,11
84,02/23/2021,Australia,28939,909,22892,5138
85,02/24/2020,Australia,22,0,11,11
86,02/24/2021,Australia,28947,909,22897,5141
87,02/25/2020,Australia,22,0,11,11
88,02/25/2021,Australia,28957,909,22900,5148
89,02/26/2020,Australia,22,0,11,11
90,02/26/2021,Australia,28965,909,22902,5154
91,02/27/2020,Australia,23,0,11,12
92,02/27/2021,Australia,28970,909,22903,5158
93,02/28/2020,Australia,23,0,11,12
94,02/28/2021,Australia,28978,909,22909,5160
95,02/29/2020,Australia,25,0,11,14
96,03/01/2020,Australia,27,1,11,15
97,03/01/2021,Australia,28986,909,22914,5163
